"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"The Last Guardian","PlayStation 4",82,110,7.9,2467,2016-12-06,"Fantasy/Fantasy/Action Adventure/Linear","Fantasy",8.2,"ALTO","ALTO",0.299999999999999,0.299999999999999,1
"Sprint Vector","PlayStation 4",82,9,7.5,31,2018-02-13,"Racing/Arcade/Other","Racing",8.2,"ALTO","ALTO",0.699999999999999,0.699999999999999,1
"The Legend of Heroes: Trails of Cold Steel III","PlayStation 4",82,30,8.7,177,2019-10-22,"Role-Playing/Japanese-Style","Role-Playing",8.2,"ALTO","ALTO",-0.5,0.5,1
"MLB The Show 18","PlayStation 4",82,35,6.3,98,2018-03-27,"Sports/Team/Baseball/Sim","Sports",8.2,"ALTO","MEDIO",1.9,1.9,1
"The Messenger","PlayStation 4",82,9,8,51,2019-03-19,"Action/Platformer/2D","Action",8.2,"ALTO","ALTO",0.199999999999999,0.199999999999999,1
"Life is Strange 2: Episode 5 - Wolves","PlayStation 4",82,13,6.3,54,2019-12-03,"Action Adventure/General","Action Adventure",8.2,"ALTO","MEDIO",1.9,1.9,1
"PixelJunk Shooter Ultimate","PlayStation 4",82,8,7.2,156,2014-06-03,"Action/Shooter/Scrolling/Shoot-'Em-Up/Vertical","Action",8.2,"ALTO","MEDIO",0.999999999999999,0.999999999999999,1
"ZEN Pinball 2","PlayStation 4",82,12,7,91,2013-12-24,"Action/Miscellaneous/Parlor/Pinball","Action",8.2,"ALTO","MEDIO",1.2,1.2,1
"Metrico+","PlayStation 4",81,7,6.3,8,2016-08-23,"Puzzle/Action","Puzzle",8.1,"ALTO","MEDIO",1.8,1.8,1
"Slime-san: Superslime Edition","PlayStation 4",81,11,6.5,13,2018-06-26,"Action Adventure/Linear","Action Adventure",8.1,"ALTO","MEDIO",1.6,1.6,1
"Danganronpa V3: Killing Harmony","PlayStation 4",81,44,7.5,190,2017-09-26,"Action/General/Adventure/Visual Novel","Action",8.1,"ALTO","ALTO",0.6,0.6,1
"Hitman - Episode 6: Hokkaido","PlayStation 4",81,21,6.9,23,2016-10-31,"Action Adventure/General","Action Adventure",8.1,"ALTO","MEDIO",1.2,1.2,1
"Tearaway Unfolded","PlayStation 4",81,70,8,295,2015-09-08,"Action Adventure/Adventure/General/Fantasy","Action Adventure",8.1,"ALTO","ALTO",0.0999999999999996,0.0999999999999996,1
"Deus Ex: Mankind Divided - A Criminal Past","PlayStation 4",81,7,6.8,34,2017-02-23,"Action Adventure/General","Action Adventure",8.1,"ALTO","MEDIO",1.3,1.3,1
"Cities: Skylines - PlayStation 4 Edition","PlayStation 4",81,15,7.2,109,2017-08-15,"Strategy/Management/Government","Strategy",8.1,"ALTO","MEDIO",0.899999999999999,0.899999999999999,1
